bioguide,nominate_dim1,name,birth_date,party,twitter,screen_name
B001312,-0.288,Carolyn Bourdeaux,1970-06-03,Democratic,RepBourdeaux,repbourdeaux
C001116,0.812,Andrew S. Clyde,1963-11-22,Republican,,
G000596,0.8,Marjorie Taylor Greene,1974-05-27,Republican,RepMTG,repmtg
W000788,-0.333,Nikema Williams,1978-07-30,Democratic,RepNikema,repnikema
B000490,-0.283,"Sanford D. Bishop, Jr.",1947-02-04,Democratic,SanfordBishop,sanfordbishop
C001055,-0.196,Ed Case,1952-09-27,Democratic,RepEdCase,repedcase
K000396,-0.318,Kaiali’i Kahele,1974-03-28,Democratic,RepKahele,repkahele
F000469,0.638,Russ Fulcher,1973-07-19,Republican,RepRussFulcher,reprussfulcher
S001148,0.297,Michael K. Simpson,1950-09-08,Republican,CongMikeSimpson,congmikesimpson
F000454,-0.23,Bill Foster,1955-10-07,Democratic,RepBillFoster,repbillfoster
Q000023,-0.322,Mike Quigley,1958-10-17,Democratic,RepMikeQuigley,repmikequigley
K000378,0.263,Adam Kinzinger,1978-02-27,Republican,RepKinzinger,repkinzinger
S001190,-0.178,Bradley Scott Schneider,1961-08-20,Democratic,repschneider,repschneider
D000619,0.271,Rodney Davis,1970-01-05,Republican,RodneyDavis,rodneydavis
B001286,-0.238,Cheri Bustos,1961-10-17,Democratic,RepCheri,repcheri
K000385,-0.46,Robin L. Kelly,1956-04-30,Democratic,RepRobinKelly,reprobinkelly
B001295,0.273,Mike Bost,1960-12-30,Republican,RepBost,repbost
L000585,0.465,Darin LaHood,1968-07-05,Republican,RepLaHood,replahood
K000391,-0.317,Raja Krishnamoorthi,1973-07-19,Democratic,congressmanraja,congressmanraja
C001117,-0.413,Sean Casten,1971-11-23,Democratic,RepCasten,repcasten
G000586,-0.444,"Jesús G. ""Chuy"" García",1956-04-12,Democratic,RepChuyGarcia,repchuygarcia
U000040,-0.551,Lauren Underwood,1986-10-04,Democratic,RepUnderwood,repunderwood
M001211,0.768,Mary E. Miller,1959-08-27,Republican,RepMaryMiller,repmarymiller
N000192,-0.643,Marie Newman,1964-04-13,Democratic,RepMarieNewman,repmarienewman
R000515,-0.479,Bobby L. Rush,1946-11-23,Democratic,RepBobbyRush,repbobbyrush
D000096,-0.486,Danny K. Davis,1941-09-06,Democratic,RepDannyDavis,repdannydavis
S001145,-0.606,Janice D. Schakowsky,1944-05-26,Democratic,JanSchakowsky,janschakowsky
C001072,-0.431,André Carson,1974-10-16,Democratic,RepAndreCarson,repandrecarson
B001275,0.408,Larry Bucshon,1962-05-31,Republican,RepLarryBucshon,replarrybucshon
W000813,0.428,Jackie Walorski,1963-08-17,Republican,RepWalorski,repwalorski
B001299,0.64,Jim Banks,1979-07-16,Republican,RepJimBanks,repjimbanks
H001074,0.414,Trey Hollingsworth,1983-09-12,Republican,reptrey,reptrey
B001307,0.443,James R. Baird,1945-06-04,Republican,RepJimBaird,repjimbaird
P000615,0.487,Greg Pence,1956-11-14,Republican,RepGregPence,repgregpence
M001214,-0.35,Frank J. Mrvan,1969-04-16,Democratic,RepMrvan,repmrvan
S000929,0.433,Victoria Spartz,1978-10-06,Republican,RepSpartz,repspartz
A000378,-0.242,Cynthia Axne,1965-04-20,Democratic,RepCindyAxne,repcindyaxne
F000446,0.443,Randy Feenstra,1969-01-14,Republican,RepFeenstra,repfeenstra
H001091,0.411,Ashley Hinson,1983-06-27,Republican,RepAshleyHinson,repashleyhinson
M001215,0.273,Mariannette Miller-Meeks,1955-09-06,Republican,RepMMM,repmmm
E000298,0.617,Ron Estes,1956-07-19,Republican,RepRonEstes,repronestes
D000629,-0.254,Sharice Davids,1980-05-22,Democratic,RepDavids,repdavids
L000266,0.512,Jake LaTurner,1988-02-17,Republican,RepLaTurner,replaturner
M000871,0.693,Tracey Mann,1976-12-17,Republican,RepMann,repmann
R000395,0.338,Harold Rogers,1937-12-31,Republican,RepHalRogers,rephalrogers
Y000062,-0.378,John A. Yarmuth,1947-11-04,Democratic,RepJohnYarmuth,repjohnyarmuth
G000558,0.42,Brett Guthrie,1964-02-18,Republican,RepGuthrie,repguthrie
B001282,0.486,Andy Barr,1973-07-24,Republican,RepAndyBarr,repandybarr
C001108,0.599,James Comer,1972-08-19,Republican,RepJamesComer,repjamescomer
M001184,0.679,Thomas Massie,1971-01-13,Republican,RepThomasMassie,repthomasmassie
S001176,0.558,Steve Scalise,1965-10-06,Republican,SteveScalise,stevescalise
G000577,0.452,Garret Graves,1972-01-31,Republican,RepGarretGraves,repgarretgraves
H001077,0.587,Clay Higgins,1961-08-24,Republican,RepClayHiggins,repclayhiggins
J000299,0.561,Mike Johnson,1972-01-30,Republican,RepMikeJohnson,repmikejohnson
L000595,0.418,Julia Letlow,1981-03-16,Republican,,
C001125,-0.287,Troy A. Carter,1963-10-26,Democratic,,
P000597,-0.42,Chellie Pingree,1955-04-02,Democratic,ChelliePingree,chelliepingree
G000592,-0.11,Jared F. Golden,1982-07-25,Democratic,repgolden,repgolden
H000874,-0.38,Steny H. Hoyer,1939-06-14,Democratic,LeaderHoyer,leaderhoyer
M000687,-0.448,Kweisi Mfume,1948-10-24,Democratic,RepKweisiMfume,repkweisimfume
